City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,severo-kurilsk,50.68,156.12,35.1,85,100,15.08,RU,1585690116
88,saint anthony,45.02,-93.22,55.99,32,1,6.93,US,1585690189
89,petropavlovsk-kamchatskiy,53.05,158.65,28.4,100,90,2.24,RU,1585689934
90,flinders,-34.58,150.86,70.0,100,75,4.7,AU,1585690020
91,maceio,-9.67,-35.74,82.4,78,20,11.41,BR,1585690190
92,dinard,48.63,-2.06,44.6,70,11,11.41,FR,1585690190
93,kita,13.03,-9.49,90.16,14,25,4.27,ML,1585690191
94,tshikapa,-6.42,20.8,74.89,74,47,1.48,CD,1585690191
95,grand-santi,4.25,-54.38,83.25,70,100,4.59,GF,1585690191
96,henties bay,-22.12,14.28,59.0,90,0,1.99,NA,1585690165
97,georgetown,5.41,100.34,84.2,88,20,3.76,MY,1585689931
98,pevek,69.7,170.31,-0.89,92,49,4.16,RU,1585690192
99,esperance,-33.87,121.9,53.6,100,75,4.7,AU,1585690192
100,barao de melgaco,-16.19,-55.97,84.2,66,40,5.82,BR,1585690192
101,dongsheng,39.82,109.98,30.33,42,100,15.08,CN,1585690048
102,tasiilaq,65.61,-37.64,28.4,36,2,19.46,GL,1585690193
103,moctezuma,29.8,-109.67,84.06,11,100,1.5,MX,1585690193
104,wanning,18.8,110.4,76.46,90,35,5.93,CN,1585690193
105,upernavik,72.79,-56.15,-2.56,89,67,24.85,GL,1585689905
106,labuan,5.28,115.24,80.6,94,75,3.47,MY,1585690189
107,itarema,-2.92,-39.92,80.2,86,98,10.2,BR,1585690194
108,sassandra,4.95,-6.08,80.37,91,13,4.72,CI,1585690179
109,ancud,-41.87,-73.82,60.8,48,40,12.75,CL,1585690161
110,husavik,66.04,-17.34,41.0,52,75,42.5,IS,1585689990
111,road town,18.42,-64.62,80.01,73,0,7.0,VG,1585690195
112,shenjiamen,29.96,122.3,51.71,84,100,18.95,CN,1585690195
113,yichang,30.71,111.28,51.06,75,90,1.88,CN,1585690195
114,plouzane,48.38,-4.62,44.6,75,3,18.34,FR,1585690019
115,hilo,19.73,-155.09,75.99,73,90,5.55,US,1585690180
116,dikson,73.51,80.55,-2.52,93,100,6.62,RU,1585690196
117,port hedland,-20.32,118.57,77.0,88,97,4.7,AU,1585690196
118,planadas,3.2,-75.65,82.4,74,75,6.93,CO,1585690196
119,castro,-24.79,-50.01,70.81,52,3,1.63,BR,1585690196
120,linqiong,30.42,103.46,61.0,87,40,6.71,CN,1585690197
121,guerrero negro,27.98,-114.06,79.32,21,100,6.44,MX,1585690197
122,upata,8.01,-62.4,84.31,46,98,4.81,VE,1585690159
123,maloy,61.94,5.11,42.8,93,75,5.82,NO,1585690197
124,sumbe,-11.21,13.84,76.55,89,23,6.35,AO,1585690198
125,barrow,71.29,-156.79,10.4,66,1,16.11,US,1585690129
126,chisindia,46.28,22.1,34.0,64,71,2.24,RO,1585690198
127,provideniya,64.38,-173.3,24.8,79,75,6.71,RU,1585690198
128,isangel,-19.55,169.27,79.5,84,94,17.16,VU,1585690199
129,lorengau,-2.02,147.27,81.73,83,86,10.89,PG,1585690199
130,kavaratti,10.57,72.64,82.9,77,0,14.23,IN,1585690199
131,chokurdakh,70.63,147.92,-6.36,91,90,5.44,RU,1585689925
132,puerto ayora,-0.74,-90.35,82.4,69,20,6.93,EC,1585690160
133,olafsvik,64.89,-23.71,33.98,88,100,20.54,IS,1585690200
134,new norfolk,-42.78,147.06,55.99,87,20,3.36,AU,1585690200
135,dergachi,51.23,48.77,52.48,67,93,7.76,RU,1585690200
136,kirksville,40.19,-92.58,63.0,36,1,14.99,US,1585690103
137,mezcala,20.93,-102.75,83.41,11,82,3.67,MX,1585690201
138,saint-georges,12.06,-61.75,84.2,58,20,11.41,GD,1585690082
139,victoria,22.29,114.16,66.99,100,40,5.82,HK,1585690189
140,mwene-ditu,-7.0,23.45,68.85,73,100,2.26,CD,1585690203
141,rottingdean,50.81,-0.06,39.99,69,0,5.82,GB,1585690203
142,ghanzi,-21.57,21.78,67.1,62,100,5.55,BW,1585690203
143,lasa,46.62,10.7,44.6,58,5,3.36,IT,1585689958
144,mandalgovi,45.76,106.27,23.76,47,0,8.32,MN,1585689958
145,caconda,-13.73,15.07,61.34,59,98,1.39,AO,1585690204
146,saint-philippe,-21.36,55.77,77.0,83,75,6.93,RE,1585690204
147,dunedin,-45.87,170.5,53.85,78,0,3.42,NZ,1585689920
